gene	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
IFT74	-0.196121656	-0.102849923	0.059932201	-0.102061366	-0.071915705	-0.231002161	0.077689087	-0.118568937	-0.14115498	0.017282257	0.1828735	-0.212697604	-0.151212425	-0.221365664
IFT80	0.124425607	0.052145259	0.188536651	0.173239137	0.225512566	0.113175978	0.160767366	0.14571948	0.193826121	0.08359312	0.176343415	0.113990961	0.170519511	0.065892419
IFT81	0.155632011	0.086587318	0.15603139	0.141039747	0.14017155	0.178284107	0.125232308	0.185975861	0.104036557	0.118808963	0.149709264	0.115333356	0.208779234	0.110228239
IFT88	-0.143314083	-0.096171558	0.097026997	0.043850788	0.035462756	-0.173804611	0.038642236	-0.035010743	0.052693931	-0.035702546	0.153544345	-0.015960913	0.030841985	-0.072174747
IGDCC3	-0.004332779	-0.039994212	-0.015692096	0.001827049	0.015351033	-0.055315938	-0.051974645	-0.04316918	-0.046879013	-0.016967399	0.002804057	-0.114676744	0.027490104	-0.034243232
IGDCC4	-0.128215319	-0.075114306	-0.112223028	-0.088757381	-0.083934512	-0.232965983	-0.141909465	-0.245204661	-0.098905678	-0.144934608	-0.065441064	-0.126198562	-0.190712401	-0.072627276
IGF1	0.084086507	0.078650491	0.058653141	-0.064813162	-0.046283282	-0.000793297	0.03148766	0.009811279	0.204488175	0.033351393	0.151058725	0.104885566	0.12909239	0.053511024
IGF1R	-0.781371113	-0.572673364	-0.489341262	-0.683732923	-0.572791641	-1.119116689	-0.69708946	-0.764180875	-1.159174064	-0.365578678	-1.085823393	-1.195491631	-0.712883289	-0.390532955
IGF2	-0.068708293	-0.199868023	-0.028466254	-0.046751368	-0.199127767	-0.135958896	-0.110586958	-0.073523906	-0.231848595	-0.015175219	-0.231068699	-0.157641712	-0.037146016	-0.048272115
IGF2BP1	-0.19745421	0.036777813	-0.114619503	-0.151763207	-0.112463899	-0.258064525	0.022477231	-0.038900502	-0.024880153	0.00406119	-0.086333442	0.019680412	-0.036660289	0.065099831
