Column	Class	Category
LS180_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
LS513_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
LUDLU1_LUNG	Gene knock-out studies	Gene-Based Metric
LXF289_LUNG	Gene knock-out studies	Gene-Based Metric
M059K_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
MALME3M_SKIN	Gene knock-out studies	Gene-Based Metric
MCAS_OVARY	Gene knock-out studies	Gene-Based Metric
MDAMB157_BREAST	Gene knock-out studies	Gene-Based Metric
MDAMB231_BREAST	Gene knock-out studies	Gene-Based Metric
MDAMB415_BREAST	Gene knock-out studies	Gene-Based Metric
MDAMB435S_SKIN	Gene knock-out studies	Gene-Based Metric
MDAMB436_BREAST	Gene knock-out studies	Gene-Based Metric
MDAMB453_BREAST	Gene knock-out studies	Gene-Based Metric
MDAMB468_BREAST	Gene knock-out studies	Gene-Based Metric
MDST8_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
MELHO_SKIN	Gene knock-out studies	Gene-Based Metric
MELJUSO_SKIN	Gene knock-out studies	Gene-Based Metric
MFE319_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
MHHNB11_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
MIAPACA2_PANCREAS	Gene knock-out studies	Gene-Based Metric
MKN45_STOMACH	Gene knock-out studies	Gene-Based Metric
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Based Metric
MORCPR_LUNG	Gene knock-out studies	Gene-Based Metric
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Based Metric
NB1_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Based Metric
NCIH1299_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH1437_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH1581_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH1650_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH1693_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH1703_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH1792_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH1944_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2023_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2030_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2087_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2110_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2122_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2126_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2170_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2172_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2291_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH23_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH322_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH441_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH460_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH520_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH716_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
NCIH747_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
NCIH838_LUNG	Gene knock-out studies	Gene-Based Metric
NCIN87_STOMACH	Gene knock-out studies	Gene-Based Metric
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
NUGC3_STOMACH	Gene knock-out studies	Gene-Based Metric
OAW28_OVARY	Gene knock-out studies	Gene-Based Metric
OE21_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
OE33_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
ONS76_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
OSRC2_KIDNEY	Gene knock-out studies	Gene-Based Metric
OUMS23_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
OV7_OVARY	Gene knock-out studies	Gene-Based Metric
OV90_OVARY	Gene knock-out studies	Gene-Based Metric
OVCAR8_OVARY	Gene knock-out studies	Gene-Based Metric
OVISE_OVARY	Gene knock-out studies	Gene-Based Metric
OVK18_OVARY	Gene knock-out studies	Gene-Based Metric
OVMANA_OVARY	Gene knock-out studies	Gene-Based Metric
OVTOKO_OVARY	Gene knock-out studies	Gene-Based Metric
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Based Metric
PANC0203_PANCREAS	Gene knock-out studies	Gene-Based Metric
PANC0403_PANCREAS	Gene knock-out studies	Gene-Based Metric
PANC1005_PANCREAS	Gene knock-out studies	Gene-Based Metric
PATU8988S_PANCREAS	Gene knock-out studies	Gene-Based Metric
PC14_LUNG	Gene knock-out studies	Gene-Based Metric
